id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
00118B1,0.16671392,0.04687500,0.42857140,0.42755682,0.69812058,0.52248248,0.53095223,0.07608696,0.00000000,0.96771479,0
0010387,0.96797893,0.19374654,0.37502770,0.28056956,0.36311083,0.30546174,0.34609024,0.04892776,0.00000000,0.47897630,0
00104C7,0.94588997,0.10025762,0.21491958,0.30381473,0.30042165,0.25589906,0.28869380,0.01417837,0.00000000,0.52687539,0
0010985,0.84210526,0.07012795,0.70833333,0.35481582,0.56652527,0.40046520,0.50941212,0.02909962,0.00000000,0.41595908,0
B760,0.92970756,0.18795915,0.29539728,0.37772278,0.48763537,0.30959724,0.44813699,0.03590943,0.00000000,0.43517897,0
B75F,0.64896746,0.36225815,0.30203857,0.30624674,0.62098173,0.45016820,0.57851348,0.04939644,0.00000000,0.28802852,0
B761,0.27483370,0.18795719,0.51892493,0.27909146,0.62815293,0.49461791,0.60650927,0.25196868,0.00000000,0.29682220,0
00104CA,0.81488465,0.17060285,0.57672256,0.20537369,0.58924801,0.43787190,0.57079153,0.05577525,1.00000000,0.16166724,0
00104C9,0.81491878,0.17059572,0.60351974,0.22010980,0.62323735,0.45015056,0.58944912,0.05836683,1.00000000,0.16176913,0
00104C6,0.88381451,0.01687500,0.50029912,0.53515481,0.63892252,0.54300909,0.57055031,0.02346422,0.00000000,0.63413148,0
000FABE,0.99976953,0.04911860,0.65197022,0.58531773,0.63611146,0.32370227,0.43892997,0.02227234,0.00000000,0.78941498,0
000F732,0.81691543,0.07381840,0.42941635,0.47921665,0.63177814,0.55855173,0.53868144,0.11958542,0.00000000,0.64251324,0
000F733,0.74018904,0.04770940,0.50524285,0.37237703,0.59405916,0.50475850,0.50204037,0.06568949,1.00000000,0.58069696,0
00104CC,0.99994509,0.11657505,0.44187151,0.22332735,0.03820884,0.00374643,0.01836980,0.03583190,1.00000000,0.23477114,1
00104CD,0.78326186,0.01891978,0.65119624,0.62526702,0.59347905,0.47749922,0.49877587,0.02021140,0.00000000,0.60546498,0
000FAC0,0.99989469,0.04911245,0.65169965,0.58203614,0.63651116,0.32384147,0.44672746,0.02226309,1.00000000,0.78759858,0
000FABF,0.99989976,0.04911220,0.65148423,0.58599349,0.63342712,0.32383337,0.43375938,0.02225574,0.00000000,0.78983879,0
000BAAA,0.33500839,0.14689960,0.32649710,0.40510798,0.60397135,0.59033252,0.58833012,0.31299214,0.00000000,0.71301361,0
000FDB5,0.99725305,0.03493455,0.95172469,0.43959865,0.03408890,0.00954326,0.01997373,0.02306556,1.00000000,0.47057340,1
0010640,0.53856371,0.28132431,0.10312940,0.42417272,0.79402371,0.41975894,0.66493802,0.01086974,0.00000000,0.54893527,0
00101CE,0.70020195,0.07811934,0.57130515,0.37173470,0.54392670,0.42700560,0.52472797,0.02173913,0.00000000,0.41420001,0
000F6C8,0.86666670,0.46875000,0.07692310,0.33941056,0.62450654,0.27218065,0.28272795,0.02173914,0.00000000,0.88980450,0
000F6C9,0.28571387,0.16406273,0.32812547,0.39655209,0.74619261,0.58871669,0.66919721,0.34782608,0.00000000,0.64248903,0
000F6CA,0.71653546,0.15875000,0.58241757,0.20020493,0.48045649,0.52788064,0.45648560,0.04608696,1.00000000,0.16786686,0
